,Name,ID,Playing.for,joiner
2780,Gary Shaw,11206,Collingwood,Gary Shaw Collingwood
2781,Phil Walsh,2251,Collingwood,Phil Walsh Collingwood
2782,Greg Phillips,2074,Collingwood,Greg Phillips Collingwood
2783,Greg Fyffe,11203,Collingwood,Greg Fyffe Collingwood
2784,Shane Morwood,1254,Collingwood,Shane Morwood Collingwood
2785,Geoff Raines,2092,Collingwood,Geoff Raines Collingwood
2786,Carl Herbert,11204,Collingwood,Carl Herbert Collingwood
2787,Brett Cooper,11202,Collingwood,Brett Cooper Collingwood
2788,Tony Kelly,11205,Collingwood,Tony Kelly Collingwood
2789,Bruce Abernethy,1475,Collingwood,Bruce Abernethy Collingwood
2790,Mark Beers,11240,Collingwood,Mark Beers Collingwood
2791,Jim McAllester,11050,Collingwood,Jim McAllester Collingwood
2792,Dale Woodhall,11246,Collingwood,Dale Woodhall Collingwood
2793,Darren McLaine,11244,Collingwood,Darren McLaine Collingwood
2794,Ron Andrews,1487,Collingwood,Ron Andrews Collingwood
2795,Neville Shaw,11245,Collingwood,Neville Shaw Collingwood
2796,Scott Knight,11243,Collingwood,Scott Knight Collingwood
2797,Jamie Turner,1284,Collingwood,Jamie Turner Collingwood
2798,Allen Eade,11241,Collingwood,Allen Eade Collingwood
2799,Ron McKeown,1285,Collingwood,Ron McKeown Collingwood
2800,Glenn McLean,1976,Collingwood,Glenn McLean Collingwood
2801,Michael Erwin,11242,Collingwood,Michael Erwin Collingwood
2802,Darren Millane,1292,Collingwood,Darren Millane Collingwood
2803,Ian McMullin,4005,Collingwood,Ian McMullin Collingwood
2804,Tony Burgess,11289,Collingwood,Tony Burgess Collingwood
2805,Russell Dickson,1672,Collingwood,Russell Dickson Collingwood
2806,James Manson,395,Collingwood,James Manson Collingwood
2807,Greg Smith,2179,Collingwood,Greg Smith Collingwood
2808,Brian Taylor,1403,Collingwood,Brian Taylor Collingwood
2809,Gordon Sumner,11292,Collingwood,Gordon Sumner Collingwood
2810,Darren Collins,1346,Collingwood,Darren Collins Collingwood
2811,Cameron Doyle,11290,Collingwood,Cameron Doyle Collingwood
2812,Andrew Witts,11293,Collingwood,Andrew Witts Collingwood
2813,Matthew Ryan,2137,Collingwood,Matthew Ryan Collingwood
2814,Cameron OBrien,11291,Collingwood,Cameron OBrien Collingwood
2815,Greg Daniels,11327,Collingwood,Greg Daniels Collingwood
2816,Michael Gayfer,4003,Collingwood,Michael Gayfer Collingwood
2817,Brett Gloury,11329,Collingwood,Brett Gloury Collingwood
2818,Shane Kerrison,230,Collingwood,Shane Kerrison Collingwood
2819,Dannie Seow,11333,Collingwood,Dannie Seow Collingwood
2820,Peter Bradbury,1547,Collingwood,Peter Bradbury Collingwood
2821,Darren Handley,1784,Collingwood,Darren Handley Collingwood
2822,Michael Lockman,11185,Collingwood,Michael Lockman Collingwood
2823,Sandy Hyslop,11330,Collingwood,Sandy Hyslop Collingwood
2824,Michael Edmonds,11328,Collingwood,Michael Edmonds Collingwood
2825,Geoffrey Pritchard,11331,Collingwood,Geoffrey Pritchard Collingwood
2826,Paul Rizonico,11332,Collingwood,Paul Rizonico Collingwood
2827,Peter Adams,11326,Collingwood,Peter Adams Collingwood
2828,Neil Brindley,11373,Collingwood,Neil Brindley Collingwood
2829,Gavin Brown,216,Collingwood,Gavin Brown Collingwood
2830,Michael Christian,229,Collingwood,Michael Christian Collingwood
2831,Gavin Crosisca,212,Collingwood,Gavin Crosisca Collingwood
2832,Grantley Fielke,1316,Collingwood,Grantley Fielke Collingwood
2833,Glenn Howard,1821,Collingwood,Glenn Howard Collingwood
2834,Athas Hrysoulakis,11376,Collingwood,Athas Hrysoulakis Collingwood
2835,Paul Morwood,2006,Collingwood,Paul Morwood Collingwood
2836,Craig Starcevich,105,Collingwood,Craig Starcevich Collingwood
2837,Jason Croall,11374,Collingwood,Jason Croall Collingwood
2838,Graeme Atkins,1494,Collingwood,Graeme Atkins Collingwood
2839,Terry Keays,11377,Collingwood,Terry Keays Collingwood
2840,Alan Richardson,231,Collingwood,Alan Richardson Collingwood
2841,Tim Harrington,1793,Collingwood,Tim Harrington Collingwood
2842,Brett Yorgey,11381,Collingwood,Brett Yorgey Collingwood
2843,Mark Orval,11379,Collingwood,Mark Orval Collingwood
2844,Mark Perkins,2068,Collingwood,Mark Perkins Collingwood
2845,Mick McGuane,174,Collingwood,Mick McGuane Collingwood
2846,John Mrakov,11378,Collingwood,John Mrakov Collingwood
2847,Greg Faull,11375,Collingwood,Greg Faull Collingwood
2848,Paul Tuddenham,11380,Collingwood,Paul Tuddenham Collingwood
2849,Doug Barwick,1373,Collingwood,Doug Barwick Collingwood
2850,Paul Hawke,1415,Collingwood,Paul Hawke Collingwood
2851,David Robertson,1381,Collingwood,David Robertson Collingwood
2852,Graham Wright,235,Collingwood,Graham Wright Collingwood
2853,Damian Monkhorst,223,Collingwood,Damian Monkhorst Collingwood
2854,Darren Saunders,4004,Collingwood,Darren Saunders Collingwood
2855,Tony Elshaug,1707,Collingwood,Tony Elshaug Collingwood
2856,Andrew Tarpey,11420,Collingwood,Andrew Tarpey Collingwood
2857,Colin Alexander,3996,Collingwood,Colin Alexander Collingwood
2858,Heath Shephard,1402,Collingwood,Heath Shephard Collingwood
2859,Craig Kelly,213,Collingwood,Craig Kelly Collingwood
2860,Murray Wrensted,1382,Collingwood,Murray Wrensted Collingwood
2861,Mark Bayliss,11446,Collingwood,Mark Bayliss Collingwood
2862,Brendan Tranter,11449,Collingwood,Brendan Tranter Collingwood
2863,Simon Taylor,11448,Collingwood,Simon Taylor Collingwood
2864,Terry Hecker,11447,Collingwood,Terry Hecker Collingwood
2865,Tony Francis,238,Collingwood,Tony Francis Collingwood
2866,Scott Russell,218,Collingwood,Scott Russell Collingwood
2867,Paul Williams,215,Collingwood,Paul Williams Collingwood
2868,Stephen Anderson,11501,Collingwood,Stephen Anderson Collingwood
2869,Mark Richardson,221,Collingwood,Mark Richardson Collingwood
2870,Jason McCartney,11,Collingwood,Jason McCartney Collingwood
2871,Kym Russell,11502,Collingwood,Kym Russell Collingwood
2872,Troy Lehmann,1210,Collingwood,Troy Lehmann Collingwood
2873,Gary Pert,210,Collingwood,Gary Pert Collingwood
2874,Shane Watson,214,Collingwood,Shane Watson Collingwood
2875,Tony Woods,644,Collingwood,Tony Woods Collingwood
2876,Brad Rowe,222,Collingwood,Brad Rowe Collingwood
2877,Mark Fraser,325,Collingwood,Mark Fraser Collingwood
2878,Saverio Rocca,228,Collingwood,Saverio Rocca Collingwood
2879,Brad Hardie,1300,Collingwood,Brad Hardie Collingwood
2880,Barry Mitchell,157,Collingwood,Barry Mitchell Collingwood
2881,Glenn Sandford,1230,Collingwood,Glenn Sandford Collingwood
2882,Kent Butcher,219,Collingwood,Kent Butcher Collingwood
2883,Andrew Tranquilli,240,Collingwood,Andrew Tranquilli Collingwood
2884,Jon Ballantyne,225,Collingwood,Jon Ballantyne Collingwood
2885,Nathan Buckley,217,Collingwood,Nathan Buckley Collingwood
2886,Jon Hassall,209,Collingwood,Jon Hassall Collingwood
2887,Brett James,46,Collingwood,Brett James Collingwood
2888,Stephen Ryan,1167,Collingwood,Stephen Ryan Collingwood
2889,Bradley Plain,784,Collingwood,Bradley Plain Collingwood
2890,Todd Curley,447,Collingwood,Todd Curley Collingwood
2891,Brenton Sanderson,562,Collingwood,Brenton Sanderson Collingwood
2892,Damian Houlihan,1234,Collingwood,Damian Houlihan Collingwood
2893,Aaron James,237,Collingwood,Aaron James Collingwood
2894,Justin Staritski,1240,Collingwood,Justin Staritski Collingwood
2895,Paul Sharkey,242,Collingwood,Paul Sharkey Collingwood
2896,Trent Hotton,197,Collingwood,Trent Hotton Collingwood
2897,Scott Burns,211,Collingwood,Scott Burns Collingwood
2898,Nick Hider,220,Collingwood,Nick Hider Collingwood
2899,Chad Liddell,226,Collingwood,Chad Liddell Collingwood
2900,Stephen Patterson,224,Collingwood,Stephen Patterson Collingwood
2901,Lee Walker,227,Collingwood,Lee Walker Collingwood
2902,Dermott Brereton,234,Collingwood,Dermott Brereton Collingwood
2903,Chris Curran,233,Collingwood,Chris Curran Collingwood
2904,Mark Orchard,232,Collingwood,Mark Orchard Collingwood
2905,Jason Wild,236,Collingwood,Jason Wild Collingwood
2906,Robert AhMat,239,Collingwood,Robert AhMat Collingwood
2907,Andrew Schauble,241,Collingwood,Andrew Schauble Collingwood
2908,Scott Crow,245,Collingwood,Scott Crow Collingwood
2909,Alex McDonald,243,Collingwood,Alex McDonald Collingwood
2910,Steven Pitt,244,Collingwood,Steven Pitt Collingwood
2911,Matthew Francis,246,Collingwood,Matthew Francis Collingwood
2912,Robert Pyman,247,Collingwood,Robert Pyman Collingwood
2913,Simon Prestigiacomo,249,Collingwood,Simon Prestigiacomo Collingwood
2914,Ben Wilson,248,Collingwood,Ben Wilson Collingwood
2915,Jason Bevan,250,Collingwood,Jason Bevan Collingwood
2916,John Barnett,252,Collingwood,John Barnett Collingwood
2917,Richard Osborne,253,Collingwood,Richard Osborne Collingwood
2918,Anthony Rocca,251,Collingwood,Anthony Rocca Collingwood
2919,Jason Taylor,254,Collingwood,Jason Taylor Collingwood
2920,Mal Michael,255,Collingwood,Mal Michael Collingwood
2921,Josh Mahoney,256,Collingwood,Josh Mahoney Collingwood
2922,Brad Fuller,257,Collingwood,Brad Fuller Collingwood
2923,Luke Godden,258,Collingwood,Luke Godden Collingwood
2924,Brad Cassidy,259,Collingwood,Brad Cassidy Collingwood
2925,Dwayne Griffin,260,Collingwood,Dwayne Griffin Collingwood
2926,Shannon Gibson,261,Collingwood,Shannon Gibson Collingwood
2927,Frankie Raso,262,Collingwood,Frankie Raso Collingwood
2928,Jamie Tape,263,Collingwood,Jamie Tape Collingwood
2929,Chris Tarrant,264,Collingwood,Chris Tarrant Collingwood
2930,Andrew Pugsley,265,Collingwood,Andrew Pugsley Collingwood
2931,Ben Kinnear,266,Collingwood,Ben Kinnear Collingwood
2932,Stuart Mangin,267,Collingwood,Stuart Mangin Collingwood
2933,James Wasley,268,Collingwood,James Wasley Collingwood
2934,Clinton King,269,Collingwood,Clinton King Collingwood
2935,Brent Tuckey,270,Collingwood,Brent Tuckey Collingwood
2936,Michael Gardiner,271,Collingwood,Michael Gardiner Collingwood
2937,Nick Davis,272,Collingwood,Nick Davis Collingwood
2938,Glenn Freeborn,273,Collingwood,Glenn Freeborn Collingwood
2939,Tyson Lane,274,Collingwood,Tyson Lane Collingwood
2940,Paul Licuria,275,Collingwood,Paul Licuria Collingwood
2941,Ricky Olarenshaw,276,Collingwood,Ricky Olarenshaw Collingwood
2942,Cameron Venables,277,Collingwood,Cameron Venables Collingwood
2943,Rupert Betheras,278,Collingwood,Rupert Betheras Collingwood
2944,Heath Scotland,280,Collingwood,Heath Scotland Collingwood
2945,Craig Jacotine,281,Collingwood,Craig Jacotine Collingwood
2946,Brad Oborne,282,Collingwood,Brad Oborne Collingwood
2947,Tarkyn Lockyer,279,Collingwood,Tarkyn Lockyer Collingwood
2948,Damien Adkins,283,Collingwood,Damien Adkins Collingwood
2949,Leon Davis,284,Collingwood,Leon Davis Collingwood
2950,Josh Fraser,285,Collingwood,Josh Fraser Collingwood
2951,Ben Johnson,286,Collingwood,Ben Johnson Collingwood
2952,Shane OBree,287,Collingwood,Shane OBree Collingwood
2953,Andrew Ukovic,288,Collingwood,Andrew Ukovic Collingwood
2954,Steven McKee,289,Collingwood,Steven McKee Collingwood
2955,Dale Baynes,292,Collingwood,Dale Baynes Collingwood
2956,Bradley Smith,293,Collingwood,Bradley Smith Collingwood
2957,Andrew Dimattina,290,Collingwood,Andrew Dimattina Collingwood
2958,Rhyce Shaw,291,Collingwood,Rhyce Shaw Collingwood
2959,Ryan Lonie,294,Collingwood,Ryan Lonie Collingwood
2960,Jarrod Molloy,295,Collingwood,Jarrod Molloy Collingwood
2961,Chad Rintoul,48,Collingwood,Chad Rintoul Collingwood
2962,Carl Steinfort,296,Collingwood,Carl Steinfort Collingwood
2963,Shane Wakelin,297,Collingwood,Shane Wakelin Collingwood
2964,Brodie Holland,298,Collingwood,Brodie Holland Collingwood
2965,James Clement,299,Collingwood,James Clement Collingwood
2966,Danny Roach,300,Collingwood,Danny Roach Collingwood
2967,Alan Didak,301,Collingwood,Alan Didak Collingwood
2968,Andrew Hill,302,Collingwood,Andrew Hill Collingwood
2969,Richard Cole,1103,Collingwood,Richard Cole Collingwood
2970,Scott Cummings,315,Collingwood,Scott Cummings Collingwood
2971,Jason Cloke,1121,Collingwood,Jason Cloke Collingwood
2972,Mark McGough,1128,Collingwood,Mark McGough Collingwood
2973,Matthew Lokan,1419,Collingwood,Matthew Lokan Collingwood
2974,Tristen Walker,1420,Collingwood,Tristen Walker Collingwood
2975,Andrew Williams,1063,Collingwood,Andrew Williams Collingwood
2976,Shane Woewodin,725,Collingwood,Shane Woewodin Collingwood
2977,Dane Swan,1460,Collingwood,Dane Swan Collingwood
2978,Tom Davidson,3953,Collingwood,Tom Davidson Collingwood
2979,Bo Nixon,3935,Collingwood,Bo Nixon Collingwood
2980,Guy Richards,3936,Collingwood,Guy Richards Collingwood
2981,David King,3967,Collingwood,David King Collingwood
2982,Luke Mullins,3964,Collingwood,Luke Mullins Collingwood
2983,Cameron Cloke,3971,Collingwood,Cameron Cloke Collingwood
2984,Nick Maxwell,3980,Collingwood,Nick Maxwell Collingwood
2985,Julian Rowe,4040,Collingwood,Julian Rowe Collingwood
2986,Luke Shackleton,4050,Collingwood,Luke Shackleton Collingwood
2987,Justin Crow,4051,Collingwood,Justin Crow Collingwood
2988,Blake Caracella,343,Collingwood,Blake Caracella Collingwood
2989,David Fanning,4069,Collingwood,David Fanning Collingwood
2990,Chad Morrison,1050,Collingwood,Chad Morrison Collingwood
2991,Travis Cloke,4086,Collingwood,Travis Cloke Collingwood
2992,Adam Iacobucci,4089,Collingwood,Adam Iacobucci Collingwood
2993,Ben Davies,4098,Collingwood,Ben Davies Collingwood
2994,Chris Egan,4107,Collingwood,Chris Egan Collingwood
2995,Sean Rusling,4113,Collingwood,Sean Rusling Collingwood
2996,Brent Hall,4129,Collingwood,Brent Hall Collingwood
2997,Heath Shaw,4132,Collingwood,Heath Shaw Collingwood
2998,Heritier Lumumba,4134,Collingwood,Heritier Lumumba Collingwood
2999,Dale Thomas,4152,Collingwood,Dale Thomas Collingwood
3000,Scott Pendlebury,4182,Collingwood,Scott Pendlebury Collingwood
3001,Sam Iles,2353,Collingwood,Sam Iles Collingwood
3002,Paul Medhurst,1109,Collingwood,Paul Medhurst Collingwood
3003,Daniel Nicholls,11547,Collingwood,Daniel Nicholls Collingwood
3004,Shannon Cox,11551,Collingwood,Shannon Cox Collingwood
3005,Brad Dick,11552,Collingwood,Brad Dick Collingwood
3006,Alan Toovey,11553,Collingwood,Alan Toovey Collingwood
3007,Chris Bryan,4116,Collingwood,Chris Bryan Collingwood
3008,Tyson Goldsack,11568,Collingwood,Tyson Goldsack Collingwood
3009,Danny Stanley,11581,Collingwood,Danny Stanley Collingwood
3010,Martin Clarke,11585,Collingwood,Martin Clarke Collingwood
3011,Ben Reid,11589,Collingwood,Ben Reid Collingwood
3012,Ryan Cook,11611,Collingwood,Ryan Cook Collingwood
3013,Nathan Brown,11627,Collingwood,Nathan Brown Collingwood
3014,Cameron Wood,4085,Collingwood,Cameron Wood Collingwood
3015,John Anthony,11646,Collingwood,John Anthony Collingwood
3016,Sharrod Wellingham,11654,Collingwood,Sharrod Wellingham Collingwood
3017,Chris Dawes,11696,Collingwood,Chris Dawes Collingwood
3018,John McCarthy,11697,Collingwood,John McCarthy Collingwood
3019,Dayne Beams,11728,Collingwood,Dayne Beams Collingwood
3020,Leigh Brown,539,Collingwood,Leigh Brown Collingwood
3021,Jaxson Barham,11738,Collingwood,Jaxson Barham Collingwood
3022,Brent Macaffer,11743,Collingwood,Brent Macaffer Collingwood
3023,Anthony Corrie,3952,Collingwood,Anthony Corrie Collingwood
3024,Steele Sidebottom,11751,Collingwood,Steele Sidebottom Collingwood
3025,Luke Ball,1430,Collingwood,Luke Ball Collingwood
3026,Darren Jolly,753,Collingwood,Darren Jolly Collingwood
3027,Jarryd Blair,11855,Collingwood,Jarryd Blair Collingwood
3028,Simon Buckley,11595,Collingwood,Simon Buckley Collingwood
3029,Andrew Krakouer,915,Collingwood,Andrew Krakouer Collingwood
3030,Alex Fasolo,11977,Collingwood,Alex Fasolo Collingwood
3031,Luke Rounds,11990,Collingwood,Luke Rounds Collingwood
3032,Lachlan Keeffe,11991,Collingwood,Lachlan Keeffe Collingwood
3033,Ben Sinclair,11996,Collingwood,Ben Sinclair Collingwood
3034,Tom Young,12005,Collingwood,Tom Young Collingwood
3035,Jackson Paine,12037,Collingwood,Jackson Paine Collingwood
3036,Paul Seedsman,12035,Collingwood,Paul Seedsman Collingwood
3037,Peter Yagmoor,12036,Collingwood,Peter Yagmoor Collingwood
3038,Kirk Ugle,12063,Collingwood,Kirk Ugle Collingwood
3039,Jamie Elliott,12083,Collingwood,Jamie Elliott Collingwood
3040,Marley Williams,12084,Collingwood,Marley Williams Collingwood
3041,Caolan Mooney,12098,Collingwood,Caolan Mooney Collingwood
3042,Sam Dwyer,12146,Collingwood,Sam Dwyer Collingwood
3043,Jack Frost,12145,Collingwood,Jack Frost Collingwood
3044,Quinten Lynch,1160,Collingwood,Quinten Lynch Collingwood
3045,Jordan Russell,4126,Collingwood,Jordan Russell Collingwood
3046,Josh Thomas,12144,Collingwood,Josh Thomas Collingwood
3047,Ben Hudson,3956,Collingwood,Ben Hudson Collingwood
3048,Ben Kennedy,12178,Collingwood,Ben Kennedy Collingwood
3049,Jarrod Witts,12177,Collingwood,Jarrod Witts Collingwood
3050,Kyle Martin,12194,Collingwood,Kyle Martin Collingwood
3051,Adam Oxley,12202,Collingwood,Adam Oxley Collingwood
3052,Clinton Young,4131,Collingwood,Clinton Young Collingwood
3053,Brodie Grundy,12217,Collingwood,Brodie Grundy Collingwood
3054,Taylor Adams,12066,Collingwood,Taylor Adams Collingwood
3055,Tom Langdon,12233,Collingwood,Tom Langdon Collingwood
3056,Jesse White,11657,Collingwood,Jesse White Collingwood
3057,Tim Broomhead,12284,Collingwood,Tim Broomhead Collingwood
3058,Tony Armstrong,11807,Collingwood,Tony Armstrong Collingwood
3059,Jackson Ramsay,12308,Collingwood,Jackson Ramsay Collingwood
3060,Corey Gault,12311,Collingwood,Corey Gault Collingwood
3061,Jack Crisp,12061,Collingwood,Jack Crisp Collingwood
3062,Jordan de Goey,12318,Collingwood,Jordan de Goey Collingwood
3063,Travis Varcoe,11549,Collingwood,Travis Varcoe Collingwood
3064,Patrick Karnezis,11979,Collingwood,Patrick Karnezis Collingwood
3065,Brayden Maynard,12371,Collingwood,Brayden Maynard Collingwood
3066,Darcy Moore,12372,Collingwood,Darcy Moore Collingwood
3067,Levi Greenwood,11745,Collingwood,Levi Greenwood Collingwood
3068,Matt Scharenberg,12384,Collingwood,Matt Scharenberg Collingwood
3069,Jonathon Marsh,12386,Collingwood,Jonathon Marsh Collingwood
3070,Adam Treloar,12054,Collingwood,Adam Treloar Collingwood
3071,James Aish,12250,Collingwood,James Aish Collingwood
3072,Matthew Goodyear,12423,Collingwood,Matthew Goodyear Collingwood
3073,Jeremy Howe,11967,Collingwood,Jeremy Howe Collingwood
3074,Mason Cox,12428,Collingwood,Mason Cox Collingwood
3075,Josh Smith,12427,Collingwood,Josh Smith Collingwood
3076,Ben Crocker,12436,Collingwood,Ben Crocker Collingwood
3077,Tom Phillips,12452,Collingwood,Tom Phillips Collingwood
3078,Rupert Wills,12468,Collingwood,Rupert Wills Collingwood
3079,Will Hoskin-Elliott,12026,Collingwood,Will Hoskin-Elliott Collingwood
3080,Chris Mayne,11642,Collingwood,Chris Mayne Collingwood
3081,Henry Schade,12348,Collingwood,Henry Schade Collingwood
3082,Llew Jones,4756,Essendon,Llew Jones Essendon
3083,Tommy Leahy,4757,Essendon,Tommy Leahy Essendon
3084,Mick Peppard,4372,Essendon,Mick Peppard Essendon
3085,Billy Grace,4752,Essendon,Billy Grace Essendon
3086,Herb Hunter,4754,Essendon,Herb Hunter Essendon
3087,Alf Dear,4586,Essendon,Alf Dear Essendon
3088,Bill Crebbin,4751,Essendon,Bill Crebbin Essendon
3089,Hughie Johns,4755,Essendon,Hughie Johns Essendon
3090,Fred Hiskins,4753,Essendon,Fred Hiskins Essendon
3091,Bobby Byers,4846,Essendon,Bobby Byers Essendon
3092,Ted Kennedy,4849,Essendon,Ted Kennedy Essendon
3093,Bill Robinson,4853,Essendon,Bill Robinson Essendon
3094,Herc Vollugi,4854,Essendon,Herc Vollugi Essendon
3095,George Ward,4855,Essendon,George Ward Essendon
3096,Artie White,4856,Essendon,Artie White Essendon
3097,Marcus Evans,4847,Essendon,Marcus Evans Essendon
3098,Mick Morris,4852,Essendon,Mick Morris Essendon
3099,Jim Beasley,4845,Essendon,Jim Beasley Essendon
3100,Jack McKenzie,4851,Essendon,Jack McKenzie Essendon
3101,Fred Mann,4850,Essendon,Fred Mann Essendon
3102,Jim Kennedy,4848,Essendon,Jim Kennedy Essendon
3103,Ben Baxter,4947,Essendon,Ben Baxter Essendon
3104,Jack Geggie,4949,Essendon,Jack Geggie Essendon
3105,Syd Hall,4950,Essendon,Syd Hall Essendon
3106,Jack Deas,4285,Essendon,Jack Deas Essendon
3107,Bill Webb,4953,Essendon,Bill Webb Essendon
3108,Vic Hutchins,4952,Essendon,Vic Hutchins Essendon
3109,Harry Ford,4948,Essendon,Harry Ford Essendon
3110,John Holligan,4951,Essendon,John Holligan Essendon
3111,Hughie Callan,5054,Essendon,Hughie Callan Essendon
3112,William Carkeek,5055,Essendon,William Carkeek Essendon
3113,Mick Madden,5059,Essendon,Mick Madden Essendon
3114,Bill McCarthy,4962,Essendon,Bill McCarthy Essendon
3115,Johnny Meadows,5062,Essendon,Johnny Meadows Essendon
3116,Dave Smith,5065,Essendon,Dave Smith Essendon
3117,Tom Williams,5067,Essendon,Tom Williams Essendon
3118,Ted Flynn,5056,Essendon,Ted Flynn Essendon
3119,Arthur Gilligan,4958,Essendon,Arthur Gilligan Essendon
3120,Joe Marr,4778,Essendon,Joe Marr Essendon
3121,Tom Hedley,5058,Essendon,Tom Hedley Essendon
3122,George Barker,5053,Essendon,George Barker Essendon
3123,Jack Trehey,4968,Essendon,Jack Trehey Essendon
3124,Jack Rosser,5063,Essendon,Jack Rosser Essendon
3125,Jack Sullivan,5066,Essendon,Jack Sullivan Essendon
3126,Jack McIntyre,5061,Essendon,Jack McIntyre Essendon
3127,Fred Fooks,5057,Essendon,Fred Fooks Essendon
3128,Jim McDonald,5060,Essendon,Jim McDonald Essendon
3129,Percy Abercrombie,5052,Essendon,Percy Abercrombie Essendon
3130,Jack Godby,4205,Essendon,Jack Godby Essendon
3131,Joe Shippen,5064,Essendon,Joe Shippen Essendon
3132,Norman Belcher,4682,Essendon,Norman Belcher Essendon
3133,Bill Busbridge,5146,Essendon,Bill Busbridge Essendon
3134,Alex Robinson,5150,Essendon,Alex Robinson Essendon
3135,Bert Laxton,5147,Essendon,Bert Laxton Essendon
3136,Fred Robinson,5151,Essendon,Fred Robinson Essendon
3137,Arthur Legge,5148,Essendon,Arthur Legge Essendon
3138,Alf Swift,5152,Essendon,Alf Swift Essendon
3139,Mick Pleass,4298,Essendon,Mick Pleass Essendon
3140,Jim Phipps,5149,Essendon,Jim Phipps Essendon
3141,Harry Davis,5250,Essendon,Harry Davis Essendon
3142,Dick Harris,5253,Essendon,Dick Harris Essendon
3143,Bill Kerr,5254,Essendon,Bill Kerr Essendon
3144,Jack Megson,5259,Essendon,Jack Megson Essendon
3145,Jimmy OBrien,5260,Essendon,Jimmy OBrien Essendon
3146,Simon Fraser,5252,Essendon,Simon Fraser Essendon
3147,Bill Sewart,5261,Essendon,Bill Sewart Essendon
3148,Alby Matheson,5255,Essendon,Alby Matheson Essendon
3149,Bill McVitty,5258,Essendon,Bill McVitty Essendon
3150,Mark Shea,4967,Essendon,Mark Shea Essendon
3151,Ernie Cameron,5249,Essendon,Ernie Cameron Essendon
3152,Athol Tymms,5262,Essendon,Athol Tymms Essendon
3153,John Everard,5251,Essendon,John Everard Essendon
3154,Lewis Blackmore,5248,Essendon,Lewis Blackmore Essendon
3155,Arch McDonald,5256,Essendon,Arch McDonald Essendon
3156,Edwin McDonald,5257,Essendon,Edwin McDonald Essendon
3157,Alan Belcher,5187,Essendon,Alan Belcher Essendon
3158,Jack Borthwick,5341,Essendon,Jack Borthwick Essendon
3159,Bill Davies,5342,Essendon,Bill Davies Essendon
3160,John Green,5349,Essendon,John Green Essendon
3161,Charlie Morley,5351,Essendon,Charlie Morley Essendon
3162,Charlie Teather,5356,Essendon,Charlie Teather Essendon
3163,James Wilson,3895,Essendon,James Wilson Essendon
3164,Norm Yeo,5357,Essendon,Norm Yeo Essendon
3165,Bert Numa,5352,Essendon,Bert Numa Essendon
3166,Alf George,5346,Essendon,Alf George Essendon
3167,Gordon Ross-Soden,5353,Essendon,Gordon Ross-Soden Essendon
3168,John Dixon,5343,Essendon,John Dixon Essendon
3169,George Gibson,5347,Essendon,George Gibson Essendon
3170,Con Kennedy,5350,Essendon,Con Kennedy Essendon
3171,Ray Sartori,5355,Essendon,Ray Sartori Essendon
3172,Phil Gibson,5348,Essendon,Phil Gibson Essendon
3173,Gerald Ryan,5354,Essendon,Gerald Ryan Essendon
3174,Chris Fogarty,5344,Essendon,Chris Fogarty Essendon
3175,Joe Fogarty,5239,Essendon,Joe Fogarty Essendon
3176,Cec Garton,5345,Essendon,Cec Garton Essendon
3177,John Anderson,5447,Essendon,John Anderson Essendon
3178,Norm Busbridge,5451,Essendon,Norm Busbridge Essendon
3179,Alf Jackson,5454,Essendon,Alf Jackson Essendon
3180,Bill Johnson,5456,Essendon,Bill Johnson Essendon
3181,Otto Landmann,5457,Essendon,Otto Landmann Essendon
3182,Jim Martin,4991,Essendon,Jim Martin Essendon
3183,Alby Sykes,5463,Essendon,Alby Sykes Essendon
3184,Len Bowe,5450,Essendon,Len Bowe Essendon
3185,Fred Parkinson,5460,Essendon,Fred Parkinson Essendon
3186,Bruce Sloss,5461,Essendon,Bruce Sloss Essendon
3187,Horrie Dick,5453,Essendon,Horrie Dick Essendon
3188,John Stephenson,5462,Essendon,John Stephenson Essendon
3189,Dick Clough,5452,Essendon,Dick Clough Essendon
3190,Gordon Kearney,5076,Essendon,Gordon Kearney Essendon
3191,Mike Londerigan,5458,Essendon,Mike Londerigan Essendon
3192,Peter McCann,5139,Essendon,Peter McCann Essendon
3193,Charles Bolton,5449,Essendon,Charles Bolton Essendon
3194,Charlie Haigbloom,4935,Essendon,Charlie Haigbloom Essendon
3195,Barney Jenkins,5455,Essendon,Barney Jenkins Essendon
3196,Cliff Bennett,5448,Essendon,Cliff Bennett Essendon
3197,Bill Lonergan,5459,Essendon,Bill Lonergan Essendon
3198,Lou Armstrong,5565,Essendon,Lou Armstrong Essendon
3199,Tommy Crow,5567,Essendon,Tommy Crow Essendon
3200,Les Minto,5206,Essendon,Les Minto Essendon
3201,Bert Ryan,5574,Essendon,Bert Ryan Essendon
3202,Paddy Shea,5159,Essendon,Paddy Shea Essendon
3203,Tom Sevior,5575,Essendon,Tom Sevior Essendon
3204,Lon Smith,5576,Essendon,Lon Smith Essendon
3205,Harry Farnsworth,5569,Essendon,Harry Farnsworth Essendon
3206,Archie Snell,4998,Essendon,Archie Snell Essendon
3207,Alan Irwin,5572,Essendon,Alan Irwin Essendon
3208,Jim Campbell,5566,Essendon,Jim Campbell Essendon
3209,Fred Anderson,5564,Essendon,Fred Anderson Essendon
3210,Bill French,5570,Essendon,Bill French Essendon
